单次频率,平均频率
25.00000,24.84600
25.00000,24.84700
25.00000,24.84800
25.00000,24.84900
25.00000,24.85000
25.00000,24.85000
25.00000,24.85100
25.00000,24.85200
25.00000,24.85300
25.00000,24.85400
25.00000,24.85500
25.00000,24.85600
25.00000,24.85700
25.00000,24.85700
25.00000,24.85800
25.00000,24.85900
25.00000,24.86000
25.00000,24.86100
25.00000,24.86100
25.00000,24.86200
25.00000,24.86300
25.00000,24.86400
25.00000,24.86400
25.00000,24.86500
25.00000,24.86600
25.00000,24.86600
25.00000,24.86700
25.00000,24.86800
25.00000,24.86900
25.00000,24.86900
25.00000,24.87000
25.00000,24.87100
25.00000,24.87100
25.00000,24.87200
25.00000,24.87300
25.00000,24.87300
25.00000,24.87400
25.00000,24.87500
25.00000,24.87500
25.00000,24.87600
25.00000,24.87600
25.00000,24.87700
25.00000,24.87800
25.00000,24.87800
25.00000,24.87900
25.00000,24.87900
25.00000,24.88000
25.00000,24.88100
25.00000,24.88100
25.00000,24.88200
25.00000,24.88200
25.00000,24.88300
25.00000,24.88300
25.00000,24.88400
25.00000,24.88400
25.00000,24.88500
25.00000,24.88500
25.00000,24.88600
25.00000,24.88700
25.00000,24.88700
25.00000,24.88800
25.00000,24.88800
25.00000,24.88900
25.00000,24.88900
25.00000,24.89000
25.00000,24.89000
25.00000,24.89000
25.00000,24.89100
25.00000,24.89100
25.00000,24.89200
25.00000,24.89200
25.00000,24.89300
25.00000,24.89300
25.00000,24.89400
25.00000,24.89400
25.00000,24.89500
25.00000,24.89500
25.00000,24.89600
25.00000,24.89600
25.00000,24.89600
25.00000,24.89700
25.00000,24.89700
25.00000,24.89800
25.00000,24.89800
25.00000,24.89900
25.00000,24.89900
25.00000,24.89900
25.00000,24.90000
25.00000,24.90000
25.00000,24.90100
25.00000,24.90100
25.00000,24.90100
25.00000,24.90200
25.00000,24.90200
25.00000,24.90200
25.00000,24.90300
25.00000,24.90300
25.00000,24.90400
25.00000,24.90400
25.00000,24.90400
25.00000,24.90500
25.00000,24.90500
25.00000,24.90500
25.00000,24.90600
25.00000,24.90600
25.00000,24.90600
25.00000,24.90700
25.00000,24.90700
25.00000,24.90800
25.00000,24.90800
25.00000,24.90800
25.00000,24.90900
25.00000,24.90900
25.00000,24.90900
25.00000,24.91000
25.00000,24.91000
25.00000,24.91000
25.00000,24.91100
25.00000,24.91100
25.00000,24.91100
25.00000,24.91100
25.00000,24.91200
25.00000,24.91200
25.00000,24.91200
25.00000,24.91300
25.00000,24.91300
25.00000,24.91300
25.00000,24.91400
25.00000,24.91400
25.00000,24.91400
25.00000,24.91400
25.00000,24.91500
25.00000,24.91500
25.00000,24.91500
25.00000,24.91600
25.00000,24.91600
25.00000,24.91600
25.00000,24.91600
25.00000,24.91700
25.00000,24.91700
25.00000,24.91700
25.00000,24.91800
25.00000,24.91800
25.00000,24.91800
25.00000,24.91800
25.00000,24.91900
25.00000,24.91900
25.00000,24.91900
25.00000,24.91900
25.00000,24.92000
25.00000,24.92000
25.00000,24.92000
25.00000,24.92000
25.00000,24.92100
25.00000,24.92100
25.00000,24.92100
25.00000,24.92100
25.00000,24.92200
25.00000,24.92200
25.00000,24.92200
25.00000,24.92200
25.00000,24.92300
25.00000,24.92300
25.00000,24.92300
25.00000,24.92300
25.00000,24.92400
25.00000,24.92400
25.00000,24.92400
25.00000,24.92400
25.00000,24.92500
25.00000,24.92500
25.00000,24.92500
25.00000,24.92500
25.00000,24.92500
25.00000,24.92600
25.00000,24.92600
25.00000,24.92600
25.00000,24.92600
25.00000,24.92700
25.00000,24.92700
25.00000,24.92700
25.00000,24.92700
25.00000,24.92700
25.00000,24.92800
25.00000,24.92800
25.00000,24.92800
25.00000,24.92800
25.00000,24.92800
25.00000,24.92900
25.00000,24.92900
25.00000,24.92900
25.00000,24.92900
25.00000,24.92900
25.00000,24.93000
25.00000,24.93000
25.00000,24.93000
25.00000,24.93000
25.00000,24.93000
25.00000,24.93100
25.00000,24.93100
25.00000,24.93100
25.00000,24.93100
25.00000,24.93100
25.00000,24.93200
25.00000,24.93200
25.00000,24.93200
25.00000,24.93200
25.00000,24.93200
25.00000,24.93300
25.00000,24.93300
25.00000,24.93300
25.00000,24.93300
25.00000,24.93300
25.00000,24.93300
25.00000,24.93400
25.00000,24.93400
25.00000,24.93400
25.00000,24.93400
25.00000,24.93400
25.00000,24.93400
25.00000,24.93500
25.00000,24.93500
25.00000,24.93500
25.00000,24.93500
25.00000,24.93500
25.00000,24.93500
25.00000,24.93600
25.00000,24.93600
25.00000,24.93600
25.00000,24.93600
25.00000,24.93600
25.00000,24.93600
25.00000,24.93700
25.00000,24.93700
25.00000,24.93700
25.00000,24.93700
25.00000,24.93700
25.00000,24.93700
25.00000,24.93800
25.00000,24.93800
25.00000,24.93800
25.00000,24.93800
25.00000,24.93800
25.00000,24.93800
25.00000,24.93900
25.00000,24.93900
25.00000,24.93900
25.00000,24.93900
25.00000,24.93900
25.00000,24.93900
25.00000,24.93900
25.00000,24.94000
25.00000,24.94000
25.00000,24.94000
25.00000,24.94000
25.00000,24.94000
25.00000,24.94000
25.00000,24.94000
25.00000,24.94100
25.00000,24.94100
25.00000,24.94100
25.00000,24.94100
25.00000,24.94100
25.00000,24.94100
25.00000,24.94100
25.00000,24.94200
25.00000,24.94200
25.00000,24.94200
25.00000,24.94200
25.00000,24.94200
25.00000,24.94200
25.00000,24.94200
25.00000,24.94200
25.00000,24.94300
25.00000,24.94300
25.00000,24.94300
25.00000,24.94300
25.00000,24.94300
25.00000,24.94300
25.00000,24.94300
25.00000,24.94400
25.00000,24.94400
25.00000,24.94400
25.00000,24.94400
25.00000,24.94400
25.00000,24.94400
25.00000,24.94400
25.00000,24.94400
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94500
25.00000,24.94600
25.00000,24.94600
25.00000,24.94600
25.00000,24.94600
25.00000,24.94600
25.00000,24.94600
25.00000,24.94600
25.00000,24.94600
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94700
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94800
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.94900
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95000
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95100
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95200
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95300
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95400
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95500
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95600
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95700
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95800
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.95900
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97700
25.00000,24.97700
25.00000,24.97700
25.00000,24.97700
25.00000,24.97700
25.00000,24.97700
25.00000,24.97700
25.00000,24.97700
25.00000,24.97700
25.00000,24.97700
25.00000,24.97700
25.00000,24.97700
4.63000,24.95800
100.00000,25.02800
125.00000,25.12000
166.66701,25.25200
125.00000,25.34400
166.66701,25.47500
38.46200,25.48700
25.00000,25.48700
25.00000,25.48600
25.00000,25.48600
25.00000,25.48500
25.00000,25.48500
25.00000,25.48400
25.00000,25.48400
25.00000,25.48300
25.00000,25.48300
25.00000,25.48300
25.00000,25.48200
25.00000,25.48200
25.00000,25.48100
25.00000,25.48100
25.00000,25.48000
25.00000,25.48000
25.00000,25.47900
25.00000,25.47900
25.00000,25.47900
25.00000,25.47800
25.00000,25.47800
25.00000,25.47700
25.00000,25.47700
25.00000,25.47600
25.00000,25.47600
25.00000,25.47600
25.00000,25.47500
25.00000,25.47500
25.00000,25.47400
25.00000,25.47400
25.00000,25.47300
25.00000,25.47300
25.00000,25.47300
25.00000,25.47200
25.00000,25.47200
25.00000,25.47100
25.00000,25.47100
25.00000,25.47000
25.00000,25.47000
25.00000,25.47000
25.00000,25.46900
25.00000,25.46900
25.00000,25.46800
25.00000,25.46800
25.00000,25.46800
25.00000,25.46700
25.00000,25.46700
25.00000,25.46600
25.00000,25.46600
25.00000,25.46500
25.00000,25.46500
25.00000,25.46500
25.00000,25.46400
25.00000,25.46400
25.00000,25.46300
25.00000,25.46300
25.00000,25.46300
25.00000,25.46200
25.00000,25.46200
25.00000,25.46100
25.00000,25.46100
25.00000,25.46100
25.00000,25.46000
25.00000,25.46000
25.00000,25.45900
25.00000,25.45900
25.00000,25.45900
25.00000,25.45800
25.00000,25.45800
25.00000,25.45700
25.00000,25.45700
25.00000,25.45700
25.00000,25.45600
25.00000,25.45600
25.00000,25.45500
25.00000,25.45500
25.00000,25.45500
25.00000,25.45400
25.00000,25.45400
25.00000,25.45300
25.00000,25.45300
25.00000,25.45300
25.00000,25.45200
25.00000,25.45200
25.00000,25.45200
25.00000,25.45100
25.00000,25.45100
25.00000,25.45000
25.00000,25.45000
25.00000,25.45000
25.00000,25.44900
25.00000,25.44900
25.00000,25.44800
25.00000,25.44800
25.00000,25.44800
25.00000,25.44700
25.00000,25.44700
25.00000,25.44700
25.00000,25.44600
25.00000,25.44600
25.00000,25.44500
25.00000,25.44500
25.00000,25.44500
25.00000,25.44400
25.00000,25.44400
25.00000,25.44400
25.00000,25.44300
25.00000,25.44300
25.00000,25.44200
25.00000,25.44200
25.00000,25.44200
25.00000,25.44100
25.00000,25.44100
25.00000,25.44100
25.00000,25.44000
25.00000,25.44000
25.00000,25.43900
25.00000,25.43900
25.00000,25.43900
25.00000,25.43800
25.00000,25.43800
25.00000,25.43800
25.00000,25.43700
25.00000,25.43700
25.00000,25.43700
25.00000,25.43600
25.00000,25.43600
25.00000,25.43500
25.00000,25.43500
25.00000,25.43500
25.00000,25.43400
25.00000,25.43400
25.00000,25.43400
25.00000,25.43300
25.00000,25.43300
25.00000,25.43300
25.00000,25.43200
25.00000,25.43200
25.00000,25.43200
25.00000,25.43100
25.00000,25.43100
25.00000,25.43000
25.00000,25.43000
25.00000,25.43000
25.00000,25.42900
25.00000,25.42900
25.00000,25.42900
25.00000,25.42800
25.00000,25.42800
25.00000,25.42800
25.00000,25.42700
25.00000,25.42700
25.00000,25.42700
25.00000,25.42600
25.00000,25.42600
25.00000,25.42600
25.00000,25.42500
25.00000,25.42500
25.00000,25.42500
25.00000,25.42400
25.00000,25.42400
25.00000,25.42400
25.00000,25.42300
25.00000,25.42300
25.00000,25.42300
25.00000,25.42200
25.00000,25.42200
25.00000,25.42200
25.00000,25.42100
25.00000,25.42100
25.00000,25.42000
25.00000,25.42000
25.00000,25.42000
25.00000,25.41900
25.00000,25.41900
25.00000,25.41900
25.00000,25.41800
25.00000,25.41800
25.00000,25.41800
25.00000,25.41700
25.00000,25.41700
25.00000,25.41700
25.00000,25.41700
25.00000,25.41600
25.00000,25.41600
25.00000,25.41600
25.00000,25.41500
25.00000,25.41500
25.00000,25.41500
25.00000,25.41400
25.00000,25.41400
25.00000,25.41400
25.00000,25.41300
25.00000,25.41300
25.00000,25.41300
25.00000,25.41200
25.00000,25.41200
25.00000,25.41200
25.00000,25.41100
25.00000,25.41100
25.00000,25.41100
25.00000,25.41000
25.00000,25.41000
25.00000,25.41000
25.00000,25.40900
25.00000,25.40900
25.00000,25.40900
25.00000,25.40800
25.00000,25.40800
25.00000,25.40800
25.00000,25.40700
25.00000,25.40700
25.00000,25.40700
25.00000,25.40700
25.00000,25.40600
25.00000,25.40600
25.00000,25.40600
25.00000,25.40500
25.00000,25.40500
25.00000,25.40500
25.00000,25.40400
25.00000,25.40400
25.00000,25.40400
25.00000,25.40300
25.00000,25.40300
25.00000,25.40300
25.00000,25.40200
25.00000,25.40200
25.00000,25.40200
25.00000,25.40200
25.00000,25.40100
25.00000,25.40100
25.00000,25.40100
25.00000,25.40000
25.00000,25.40000
25.00000,25.40000
25.00000,25.39900
25.00000,25.39900
25.00000,25.39900
25.00000,25.39900
25.00000,25.39800
25.00000,25.39800
25.00000,25.39800
25.00000,25.39700
25.00000,25.39700
25.00000,25.39700
25.00000,25.39600
25.00000,25.39600
25.00000,25.39600
25.00000,25.39600
25.00000,25.39500
25.00000,25.39500
25.00000,25.39500
25.00000,25.39400
25.00000,25.39400
25.00000,25.39400
25.00000,25.39300
25.00000,25.39300
25.00000,25.39300
25.00000,25.39300
25.00000,25.39200
25.00000,25.39200
25.00000,25.39200
25.00000,25.39100
25.00000,25.39100
25.00000,25.39100
25.00000,25.39100
25.00000,25.39000
25.00000,25.39000
25.00000,25.39000
25.00000,25.38900
25.00000,25.38900
25.00000,25.38900
25.00000,25.38900
25.00000,25.38800
25.00000,25.38800
25.00000,25.38800
25.00000,25.38700
25.00000,25.38700
25.00000,25.38700
25.00000,25.38700
25.00000,25.38600
25.00000,25.38600
25.00000,25.38600
25.00000,25.38500
25.00000,25.38500
25.00000,25.38500
25.00000,25.38500
25.00000,25.38400
25.00000,25.38400
25.00000,25.38400
25.00000,25.38300
25.00000,25.38300
25.00000,25.38300
25.00000,25.38300
25.00000,25.38200
25.00000,25.38200
25.00000,25.38200
25.00000,25.38100
25.00000,25.38100
25.00000,25.38100
25.00000,25.38100
25.00000,25.38000
25.00000,25.38000
25.00000,25.38000
25.00000,25.38000
25.00000,25.37900
25.00000,25.37900
25.00000,25.37900
25.00000,25.37800
25.00000,25.37800
25.00000,25.37800
25.00000,25.37800
25.00000,25.37700
25.00000,25.37700
25.00000,25.37700
25.00000,25.37700
